Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2022,YEAR,STATE,6,4,TOTAL,"37,78,39,000"
2022,YEAR,STATE,36,4,TOTAL,"79,32,56,000"
2021,YEAR,STATE,6,4,TOTAL,"37,46,37,000"
2021,YEAR,STATE,36,4,TOTAL,"77,48,81,000"
2020,YEAR,STATE,6,4,TOTAL,"35,49,06,000"
2020,YEAR,STATE,36,4,TOTAL,"72,29,22,000"
2019,YEAR,STATE,6,4,TOTAL,"37,37,60,000"
2019,YEAR,STATE,36,4,TOTAL,"67,91,90,000"
2019,YEAR,STATE,48,4,TOTAL,"3,77,69,000"
2018,YEAR,STATE,6,4,TOTAL,"41,51,50,000"
2018,YEAR,STATE,36,4,TOTAL,"69,10,44,000"
2018,YEAR,STATE,41,4,TOTAL,"4,17,53,000"
2018,YEAR,STATE,48,4,TOTAL,"3,15,69,000"
2017,YEAR,STATE,6,4,TOTAL,"44,24,23,000"
2017,YEAR,STATE,36,4,TOTAL,"70,69,23,000"
2017,YEAR,STATE,41,4,TOTAL,"4,91,57,000"
2017,YEAR,STATE,48,4,TOTAL,"3,43,23,000"
2016,YEAR,STATE,6,4,TOTAL,"39,48,99,000"
2016,YEAR,STATE,36,4,TOTAL,"67,67,92,000"
2016,YEAR,STATE,41,4,TOTAL,"5,24,38,000"
2016,YEAR,STATE,48,4,TOTAL,"5,07,92,000"
2015,YEAR,STATE,6,4,TOTAL,"46,56,65,000"
2015,YEAR,STATE,36,4,TOTAL,"66,92,54,000"
2015,YEAR,STATE,41,4,TOTAL,"5,53,46,000"
2015,YEAR,STATE,48,4,TOTAL,"9,41,26,000"
2014,YEAR,STATE,6,4,TOTAL, (D)
2014,YEAR,STATE,36,4,TOTAL,"66,39,17,000"
2014,YEAR,STATE,41,4,TOTAL,"5,92,08,000"
2014,YEAR,STATE,48,4,TOTAL, (D)
2009,YEAR,STATE,6,4,TOTAL,"62,01,71,000"
2009,YEAR,STATE,36,4,TOTAL,"25,16,04,000"
2009,YEAR,STATE,47,4,TOTAL,"28,42,95,000"
2009,YEAR,STATE,49,4,TOTAL,"24,42,52,000"
2009,YEAR,STATE,55,4,TOTAL,"17,31,78,000"
2008,YEAR,STATE,6,4,TOTAL,"58,17,68,000"
2008,YEAR,STATE,36,4,TOTAL,"22,49,88,000"
2008,YEAR,STATE,47,4,TOTAL,"25,80,78,000"
2008,YEAR,STATE,49,4,TOTAL,"20,88,97,000"
2008,YEAR,STATE,55,4,TOTAL,"16,28,47,000"
2007,YEAR,STATE,6,4,TOTAL,"55,99,21,000"
2007,YEAR,STATE,19,4,TOTAL,"2,13,00,000"
2007,YEAR,STATE,36,4,TOTAL,"23,47,40,000"
2007,YEAR,STATE,47,4,TOTAL,"19,35,36,000"
2007,YEAR,STATE,49,4,TOTAL,"14,09,48,000"
2007,YEAR,STATE,55,4,TOTAL,"14,72,82,000"
2006,YEAR,STATE,6,4,TOTAL,"54,33,45,000"
2006,YEAR,STATE,19,4,TOTAL,"2,55,20,000"
2006,YEAR,STATE,36,4,TOTAL,"23,69,87,000"
2006,YEAR,STATE,47,4,TOTAL,"15,53,31,000"
2006,YEAR,STATE,49,4,TOTAL,"16,37,13,000"
2006,YEAR,STATE,55,4,TOTAL,"14,45,34,000"
2005,YEAR,STATE,6,4,TOTAL,"51,19,90,000"
2005,YEAR,STATE,19,4,TOTAL,"1,74,12,000"
2005,YEAR,STATE,36,4,TOTAL,"23,23,07,000"
2005,YEAR,STATE,42,4,TOTAL,"9,31,000"
2005,YEAR,STATE,47,4,TOTAL,"9,95,95,000"
2005,YEAR,STATE,49,4,TOTAL,"17,15,09,000"
2005,YEAR,STATE,55,4,TOTAL,"12,49,74,000"
2004,YEAR,STATE,6,4,TOTAL,"45,43,02,000"
2004,YEAR,STATE,19,4,TOTAL,"1,39,84,000"
2004,YEAR,STATE,36,4,TOTAL,"22,77,95,000"
2004,YEAR,STATE,42,4,TOTAL,"8,07,000"
2004,YEAR,STATE,47,4,TOTAL,"3,89,49,000"
2004,YEAR,STATE,49,4,TOTAL,"16,55,03,000"
2004,YEAR,STATE,55,4,TOTAL,"9,80,12,000"
2003,YEAR,STATE,6,4,TOTAL,"47,92,26,000"
2003,YEAR,STATE,19,4,TOTAL,"1,38,47,000"
2003,YEAR,STATE,36,4,TOTAL,"26,17,40,000"
